State,District,Crop,season,Avg_Yield,crop_Temp_Min,crop_Temp_Max,crop_Rainfall_Min,crop_Rainfall_Max,crop_pH_Min,crop_pH_Max,crop_N_kg_ha,crop_P_kg_ha,crop_K_kg_ha,crop_Avg_Yield_t_ha,Units,crop_Season,crop_Soil_Texture,crop_Irrigation_Type
Andaman And Nicobar Islands,Nicobars,Sweet Potato,Rabi       ,10.0,21.0,26.0,750.0,1500.0,5.5,6.5,40.0,40.0,60.0,15.0,Tons/Ha,Whole Year,Sandy loam,Rainfed
Andaman And Nicobar Islands,Nicobars,Sweet Potato,Whole Year ,3.0,21.0,26.0,750.0,1500.0,5.5,6.5,40.0,40.0,60.0,15.0,Tons/Ha,Whole Year,Sandy loam,Rainfed
Andaman And Nicobar Islands,Nicobars,Tapioca,Whole Year ,8.453551912568306,25.0,30.0,1000.0,2000.0,4.5,6.5,60.0,60.0,120.0,25.0,Tons/Ha,Whole Year,Sandy loam,Rainfed
Andaman And Nicobar Islands,Nicobars,Turmeric,Rabi       ,0.25,20.0,30.0,1000.0,2000.0,5.5,7.5,120.0,60.0,100.0,10.0,Tons/Ha,Kharif,Loam,Drip/Furrow
Andaman And Nicobar Islands,Nicobars,Turmeric,Whole Year ,3.706,20.0,30.0,1000.0,2000.0,5.5,7.5,120.0,60.0,100.0,10.0,Tons/Ha,Kharif,Loam,Drip/Furrow
Andaman And Nicobar Islands,Nicobars,Urad,Rabi       ,0.5850793650793651,25.0,35.0,600.0,900.0,6.0,7.5,20.0,45.0,25.0,2.0,Tons/Ha,Kharif,Sandy loam,Light irrigation
Andaman And Nicobar Islands,North And Middle Andaman,Arecanut,Kharif     ,1.6837096774193547,14.0,36.0,750.0,4500.0,5.0,8.0,100.0,40.0,140.0,3.0,Tons/Ha,Whole Year,Clay loam,Irrigation
Andaman And Nicobar Islands,North And Middle Andaman,Arecanut,Rabi       ,2.5247497381629627,14.0,36.0,750.0,4500.0,5.0,8.0,100.0,40.0,140.0,3.0,Tons/Ha,Whole Year,Clay loam,Irrigation
Andaman And Nicobar Islands,North And Middle Andaman,Arecanut,Whole Year ,2.596293103448276,14.0,36.0,750.0,4500.0,5.0,8.0,100.0,40.0,140.0,3.0,Tons/Ha,Whole Year,Clay loam,Irrigation
Andaman And Nicobar Islands,North And Middle Andaman,Arhar/Tur,Rabi       ,0.40415959252971134,20.0,35.0,600.0,1000.0,6.0,7.5,25.0,50.0,25.0,2.0,Tons/Ha,Kharif,Loam,Rainfed
Andaman And Nicobar Islands,North And Middle Andaman,Banana,Whole Year ,8.919656910369977,20.0,35.0,1000.0,2500.0,6.0,7.5,200.0,60.0,200.0,60.0,Tons/Ha,Annual,Loam,Drip
Andaman And Nicobar Islands,North And Middle Andaman,Black Pepper,Rabi       ,0.17732342007434942,20.0,30.0,2000.0,3000.0,5.5,6.5,100.0,40.0,140.0,1.5,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,North And Middle Andaman,Black Pepper,Whole Year ,1.0922285714285713,20.0,30.0,2000.0,3000.0,5.5,6.5,100.0,40.0,140.0,1.5,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,North And Middle Andaman,Cashewnut,Rabi       ,0.40703225288831835,20.0,35.0,1000.0,2000.0,4.5,6.5,80.0,40.0,40.0,2.0,Tons/Ha,Kharif,Laterite,Rainfed
Andaman And Nicobar Islands,North And Middle Andaman,Cashewnut,Whole Year ,0.675,20.0,35.0,1000.0,2000.0,4.5,6.5,80.0,40.0,40.0,2.0,Tons/Ha,Kharif,Laterite,Rainfed
Andaman And Nicobar Islands,North And Middle Andaman,Coconut,Whole Year ,4734.693877551021,20.0,35.0,1500.0,2500.0,5.5,8.0,100.0,40.0,140.0,12000.0,Nuts/Ha,Annual,Sandy loam,Drip/Basin
Andaman And Nicobar Islands,North And Middle Andaman,Dry Chillies,Rabi       ,2.767145919704525,20.0,30.0,600.0,1000.0,6.0,7.5,100.0,50.0,50.0,3.0,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,North And Middle Andaman,Dry Chillies,Whole Year ,3.4969455285932463,20.0,30.0,600.0,1000.0,6.0,7.5,100.0,50.0,50.0,3.0,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,North And Middle Andaman,Ginger,Rabi       ,9.32551707116413,20.0,30.0,1000.0,2000.0,5.5,6.5,100.0,50.0,50.0,15.0,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,North And Middle Andaman,Ginger,Whole Year ,3.2674418604651163,20.0,30.0,1000.0,2000.0,5.5,6.5,100.0,50.0,50.0,15.0,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,North And Middle Andaman,Groundnut,Rabi       ,0.8387096774193549,20.0,30.0,500.0,1000.0,6.0,7.5,25.0,50.0,45.0,3.5,Tons/Ha,Kharif,Sandy loam,Drip/Furrow
Andaman And Nicobar Islands,North And Middle Andaman,Maize,Rabi       ,2.2495380321035157,18.0,27.0,500.0,800.0,5.5,7.5,150.0,70.0,50.0,8.0,Tons/Ha,Kharif/Rabi,Loam,Drip/Furrow
Andaman And Nicobar Islands,North And Middle Andaman,Moong(Green Gram),Rabi       ,0.4755292314741047,25.0,35.0,600.0,900.0,6.0,7.5,20.0,40.0,20.0,1.5,Tons/Ha,Kharif,Loamy,Rainfed
Andaman And Nicobar Islands,North And Middle Andaman,Moong(Green Gram),Whole Year ,0.3703518035121025,25.0,35.0,600.0,900.0,6.0,7.5,20.0,40.0,20.0,1.5,Tons/Ha,Kharif,Loamy,Rainfed
Andaman And Nicobar Islands,North And Middle Andaman,Rapeseed &Mustard,Rabi       ,0.4016722628217789,10.0,25.0,625.0,1000.0,6.0,7.0,80.0,40.0,40.0,2.5,Tons/Ha,Rabi,Sandy loam,Rainfed
Andaman And Nicobar Islands,North And Middle Andaman,Rice,Autumn     ,2.1103412443248937,20.0,35.0,1000.0,2000.0,5.5,7.0,120.0,50.0,50.0,5.0,Tons/Ha,Kharif,Clay loam,Flood
Andaman And Nicobar Islands,North And Middle Andaman,Rice,Kharif     ,2.781745215064828,20.0,35.0,1000.0,2000.0,5.5,7.0,120.0,50.0,50.0,5.0,Tons/Ha,Kharif,Clay loam,Flood
Andaman And Nicobar Islands,North And Middle Andaman,Sesamum,Rabi       ,0.43125,25.0,35.0,500.0,800.0,5.5,8.0,40.0,40.0,20.0,1.5,Tons/Ha,Kharif,Well-drained loam,Rainfed/Drip
Andaman And Nicobar Islands,North And Middle Andaman,Sesamum,Summer     ,0.3173913043478261,25.0,35.0,500.0,800.0,5.5,8.0,40.0,40.0,20.0,1.5,Tons/Ha,Kharif,Well-drained loam,Rainfed/Drip
Andaman And Nicobar Islands,North And Middle Andaman,Sugarcane,Autumn     ,13.206521382285054,20.0,35.0,1000.0,1500.0,6.5,7.5,275.0,80.0,140.0,100.0,Tons/Ha,Annual,Deep loam,Furrow/Drip
Andaman And Nicobar Islands,North And Middle Andaman,Sugarcane,Whole Year ,26.49645390070922,20.0,35.0,1000.0,1500.0,6.5,7.5,275.0,80.0,140.0,100.0,Tons/Ha,Annual,Deep loam,Furrow/Drip
Andaman And Nicobar Islands,North And Middle Andaman,Sunflower,Rabi       ,0.7275862068965517,20.0,30.0,500.0,800.0,6.0,7.5,60.0,60.0,40.0,2.5,Tons/Ha,Kharif/Rabi,Loam,Rainfed
Andaman And Nicobar Islands,North And Middle Andaman,Sweet Potato,Rabi       ,7.492176870748299,21.0,26.0,750.0,1500.0,5.5,6.5,40.0,40.0,60.0,15.0,Tons/Ha,Whole Year,Sandy loam,Rainfed
Andaman And Nicobar Islands,North And Middle Andaman,Sweet Potato,Whole Year ,8.0,21.0,26.0,750.0,1500.0,5.5,6.5,40.0,40.0,60.0,15.0,Tons/Ha,Whole Year,Sandy loam,Rainfed
Andaman And Nicobar Islands,North And Middle Andaman,Tapioca,Whole Year ,12.478383977900553,25.0,30.0,1000.0,2000.0,4.5,6.5,60.0,60.0,120.0,25.0,Tons/Ha,Whole Year,Sandy loam,Rainfed
Andaman And Nicobar Islands,North And Middle Andaman,Turmeric,Rabi       ,6.878464818763327,20.0,30.0,1000.0,2000.0,5.5,7.5,120.0,60.0,100.0,10.0,Tons/Ha,Kharif,Loam,Drip/Furrow
Andaman And Nicobar Islands,North And Middle Andaman,Turmeric,Whole Year ,6.0,20.0,30.0,1000.0,2000.0,5.5,7.5,120.0,60.0,100.0,10.0,Tons/Ha,Kharif,Loam,Drip/Furrow
Andaman And Nicobar Islands,North And Middle Andaman,Urad,Rabi       ,0.4923613241436734,25.0,35.0,600.0,900.0,6.0,7.5,20.0,45.0,25.0,2.0,Tons/Ha,Kharif,Sandy loam,Light irrigation
Andaman And Nicobar Islands,Purulia,Wheat,Autumn     ,3.7888867888867885,10.0,25.0,500.0,1000.0,6.0,7.5,120.0,55.0,45.0,5.0,Tons/Ha,Rabi,Loam,Canal/Furrow
Andaman And Nicobar Islands,Purulia,Wheat,Kharif     ,2.430862332263744,10.0,25.0,500.0,1000.0,6.0,7.5,120.0,55.0,45.0,5.0,Tons/Ha,Rabi,Loam,Canal/Furrow
Andaman And Nicobar Islands,Purulia,Wheat,Rabi       ,1.4,10.0,25.0,500.0,1000.0,6.0,7.5,120.0,55.0,45.0,5.0,Tons/Ha,Rabi,Loam,Canal/Furrow
Andaman And Nicobar Islands,Purulia,Wheat,Summer     ,0.8928117048346056,10.0,25.0,500.0,1000.0,6.0,7.5,120.0,55.0,45.0,5.0,Tons/Ha,Rabi,Loam,Canal/Furrow
Andaman And Nicobar Islands,Purulia,Wheat,Whole Year ,1.9524356617647058,10.0,25.0,500.0,1000.0,6.0,7.5,120.0,55.0,45.0,5.0,Tons/Ha,Rabi,Loam,Canal/Furrow
Andaman And Nicobar Islands,South Andamans,Arecanut,Rabi       ,2.3841408476602,14.0,36.0,750.0,4500.0,5.0,8.0,100.0,40.0,140.0,3.0,Tons/Ha,Whole Year,Clay loam,Irrigation
Andaman And Nicobar Islands,South Andamans,Arecanut,Whole Year ,1.2577080176038624,14.0,36.0,750.0,4500.0,5.0,8.0,100.0,40.0,140.0,3.0,Tons/Ha,Whole Year,Clay loam,Irrigation
Andaman And Nicobar Islands,South Andamans,Arhar/Tur,Rabi       ,0.4,20.0,35.0,600.0,1000.0,6.0,7.5,25.0,50.0,25.0,2.0,Tons/Ha,Kharif,Loam,Rainfed
Andaman And Nicobar Islands,South Andamans,Banana,Whole Year ,14.21875,20.0,35.0,1000.0,2500.0,6.0,7.5,200.0,60.0,200.0,60.0,Tons/Ha,Annual,Loam,Drip
Andaman And Nicobar Islands,South Andamans,Black Pepper,Rabi       ,0.18614154777345437,20.0,30.0,2000.0,3000.0,5.5,6.5,100.0,40.0,140.0,1.5,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,South Andamans,Black Pepper,Whole Year ,0.1830877192982456,20.0,30.0,2000.0,3000.0,5.5,6.5,100.0,40.0,140.0,1.5,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,South Andamans,Cashewnut,Rabi       ,1.1761904761904762,20.0,35.0,1000.0,2000.0,4.5,6.5,80.0,40.0,40.0,2.0,Tons/Ha,Kharif,Laterite,Rainfed
Andaman And Nicobar Islands,South Andamans,Cashewnut,Whole Year ,0.2550210970464135,20.0,35.0,1000.0,2000.0,4.5,6.5,80.0,40.0,40.0,2.0,Tons/Ha,Kharif,Laterite,Rainfed
Andaman And Nicobar Islands,South Andamans,Coconut,Whole Year ,4800.6737787759685,20.0,35.0,1500.0,2500.0,5.5,8.0,100.0,40.0,140.0,12000.0,Nuts/Ha,Annual,Sandy loam,Drip/Basin
Andaman And Nicobar Islands,South Andamans,Dry Chillies,Rabi       ,2.3152834172486605,20.0,30.0,600.0,1000.0,6.0,7.5,100.0,50.0,50.0,3.0,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,South Andamans,Dry Chillies,Whole Year ,1.7,20.0,30.0,600.0,1000.0,6.0,7.5,100.0,50.0,50.0,3.0,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,South Andamans,Ginger,Rabi       ,8.729183438757907,20.0,30.0,1000.0,2000.0,5.5,6.5,100.0,50.0,50.0,15.0,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,South Andamans,Ginger,Whole Year ,3.5658536585365854,20.0,30.0,1000.0,2000.0,5.5,6.5,100.0,50.0,50.0,15.0,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,South Andamans,Groundnut,Rabi       ,0.5714285714285714,20.0,30.0,500.0,1000.0,6.0,7.5,25.0,50.0,45.0,3.5,Tons/Ha,Kharif,Sandy loam,Drip/Furrow
Andaman And Nicobar Islands,South Andamans,Maize,Rabi       ,2.2525252525252526,18.0,27.0,500.0,800.0,5.5,7.5,150.0,70.0,50.0,8.0,Tons/Ha,Kharif/Rabi,Loam,Drip/Furrow
Andaman And Nicobar Islands,South Andamans,Moong(Green Gram),Rabi       ,0.5306122448979592,25.0,35.0,600.0,900.0,6.0,7.5,20.0,40.0,20.0,1.5,Tons/Ha,Kharif,Loamy,Rainfed
Andaman And Nicobar Islands,South Andamans,Moong(Green Gram),Whole Year ,0.7583333333333333,25.0,35.0,600.0,900.0,6.0,7.5,20.0,40.0,20.0,1.5,Tons/Ha,Kharif,Loamy,Rainfed
Andaman And Nicobar Islands,South Andamans,Rapeseed &Mustard,Rabi       ,0.8174999999999999,10.0,25.0,625.0,1000.0,6.0,7.0,80.0,40.0,40.0,2.5,Tons/Ha,Rabi,Sandy loam,Rainfed
Andaman And Nicobar Islands,South Andamans,Rice,Autumn     ,2.3088298341688347,20.0,35.0,1000.0,2000.0,5.5,7.0,120.0,50.0,50.0,5.0,Tons/Ha,Kharif,Clay loam,Flood
Andaman And Nicobar Islands,South Andamans,Rice,Kharif     ,2.92697849633232,20.0,35.0,1000.0,2000.0,5.5,7.0,120.0,50.0,50.0,5.0,Tons/Ha,Kharif,Clay loam,Flood
Andaman And Nicobar Islands,South Andamans,Sesamum,Summer     ,0.5230769230769231,25.0,35.0,500.0,800.0,5.5,8.0,40.0,40.0,20.0,1.5,Tons/Ha,Kharif,Well-drained loam,Rainfed/Drip
Andaman And Nicobar Islands,South Andamans,Sugarcane,Autumn     ,16.742053356193992,20.0,35.0,1000.0,1500.0,6.5,7.5,275.0,80.0,140.0,100.0,Tons/Ha,Annual,Deep loam,Furrow/Drip
Andaman And Nicobar Islands,South Andamans,Sugarcane,Whole Year ,18.682242990654206,20.0,35.0,1000.0,1500.0,6.5,7.5,275.0,80.0,140.0,100.0,Tons/Ha,Annual,Deep loam,Furrow/Drip
Andaman And Nicobar Islands,South Andamans,Sunflower,Rabi       ,0.5,20.0,30.0,500.0,800.0,6.0,7.5,60.0,60.0,40.0,2.5,Tons/Ha,Kharif/Rabi,Loam,Rainfed
Andaman And Nicobar Islands,South Andamans,Sweet Potato,Rabi       ,15.538155328853003,21.0,26.0,750.0,1500.0,5.5,6.5,40.0,40.0,60.0,15.0,Tons/Ha,Whole Year,Sandy loam,Rainfed
Andaman And Nicobar Islands,South Andamans,Sweet Potato,Whole Year ,6.273273213359403,21.0,26.0,750.0,1500.0,5.5,6.5,40.0,40.0,60.0,15.0,Tons/Ha,Whole Year,Sandy loam,Rainfed
Andaman And Nicobar Islands,South Andamans,Tapioca,Whole Year ,14.962121212121211,25.0,30.0,1000.0,2000.0,4.5,6.5,60.0,60.0,120.0,25.0,Tons/Ha,Whole Year,Sandy loam,Rainfed
Andaman And Nicobar Islands,South Andamans,Turmeric,Rabi       ,8.222833747231357,20.0,30.0,1000.0,2000.0,5.5,7.5,120.0,60.0,100.0,10.0,Tons/Ha,Kharif,Loam,Drip/Furrow
Andaman And Nicobar Islands,South Andamans,Turmeric,Whole Year ,6.500611995104039,20.0,30.0,1000.0,2000.0,5.5,7.5,120.0,60.0,100.0,10.0,Tons/Ha,Kharif,Loam,Drip/Furrow
Andaman And Nicobar Islands,South Andamans,Urad,Rabi       ,0.36170212765957444,25.0,35.0,600.0,900.0,6.0,7.5,20.0,45.0,25.0,2.0,Tons/Ha,Kharif,Sandy loam,Light irrigation
Andhra Pradesh,Anantapur,Arecanut,Kharif     ,3.882769283361303,14.0,36.0,750.0,4500.0,5.0,8.0,100.0,40.0,140.0,3.0,Tons/Ha,Whole Year,Clay loam,Irrigation
Andhra Pradesh,Anantapur,Arecanut,Whole Year ,0.7121862348178137,14.0,36.0,750.0,4500.0,5.0,8.0,100.0,40.0,140.0,3.0,Tons/Ha,Whole Year,Clay loam,Irrigation
Andhra Pradesh,Anantapur,Arhar/Tur,Kharif     ,0.19500214813410024,20.0,35.0,600.0,1000.0,6.0,7.5,25.0,50.0,25.0,2.0,Tons/Ha,Kharif,Loam,Rainfed
Andhra Pradesh,Anantapur,Arhar/Tur,Rabi       ,0.2571428571428571,20.0,35.0,600.0,1000.0,6.0,7.5,25.0,50.0,25.0,2.0,Tons/Ha,Kharif,Loam,Rainfed
Andhra Pradesh,Anantapur,Bajra,Kharif     ,0.7288557213930348,25.0,35.0,400.0,600.0,6.0,7.5,60.0,30.0,20.0,2.0,Tons/Ha,Kharif,Sandy loam,Rainfed
Andhra Pradesh,Anantapur,Bajra,Rabi       ,0.8,25.0,35.0,400.0,600.0,6.0,7.5,60.0,30.0,20.0,2.0,Tons/Ha,Kharif,Sandy loam,Rainfed
Andhra Pradesh,Anantapur,Banana,Whole Year ,53.3288383628782,20.0,35.0,1000.0,2500.0,6.0,7.5,200.0,60.0,200.0,60.0,Tons/Ha,Annual,Loam,Drip
Andhra Pradesh,Anantapur,Black Pepper,Whole Year ,1.0,20.0,30.0,2000.0,3000.0,5.5,6.5,100.0,40.0,140.0,1.5,Tons/Ha,Kharif,Loam,Drip
Andhra Pradesh,Anantapur,Cashewnut,Kharif     ,0.39473684210526316,20.0,35.0,1000.0,2000.0,4.5,6.5,80.0,40.0,40.0,2.0,Tons/Ha,Kharif,Laterite,Rainfed
Andhra Pradesh,Anantapur,Castor Seed,Kharif     ,0.470042046250876,20.0,30.0,500.0,750.0,6.0,7.5,80.0,40.0,40.0,2.5,Tons/Ha,Whole Year,Sandy loam,Rainfed
Andhra Pradesh,Anantapur,Castor Seed,Rabi       ,0.5189873417721519,20.0,30.0,500.0,750.0,6.0,7.5,80.0,40.0,40.0,2.5,Tons/Ha,Whole Year,Sandy loam,Rainfed
Andhra Pradesh,Anantapur,Coconut,Whole Year ,8011.444921316166,20.0,35.0,1500.0,2500.0,5.5,8.0,100.0,40.0,140.0,12000.0,Nuts/Ha,Annual,Sandy loam,Drip/Basin
Andhra Pradesh,Anantapur,Coriander,Kharif     ,0.4285714285714286,15.0,25.0,400.0,600.0,6.0,8.0,60.0,30.0,30.0,2.0,Tons/Ha,Rabi,Loam,Rainfed
Andhra Pradesh,Anantapur,Coriander,Rabi       ,0.5164780413355124,15.0,25.0,400.0,600.0,6.0,8.0,60.0,30.0,30.0,2.0,Tons/Ha,Rabi,Loam,Rainfed
Andhra Pradesh,Anantapur,Coriander,Whole Year ,0.27717782577393807,15.0,25.0,400.0,600.0,6.0,8.0,60.0,30.0,30.0,2.0,Tons/Ha,Rabi,Loam,Rainfed
Andhra Pradesh,Anantapur,Dry Chillies,Kharif     ,2.7009884706040186,20.0,30.0,600.0,1000.0,6.0,7.5,100.0,50.0,50.0,3.0,Tons/Ha,Kharif,Loam,Drip
Andhra Pradesh,Anantapur,Dry Chillies,Rabi       ,2.253968253968254,20.0,30.0,600.0,1000.0,6.0,7.5,100.0,50.0,50.0,3.0,Tons/Ha,Kharif,Loam,Drip
Andhra Pradesh,Anantapur,Dry Chillies,Whole Year ,1.1077130217349491,20.0,30.0,600.0,1000.0,6.0,7.5,100.0,50.0,50.0,3.0,Tons/Ha,Kharif,Loam,Drip
Andhra Pradesh,Anantapur,Gram,Kharif     ,0.8645833333333333,15.0,25.0,400.0,600.0,6.0,8.0,20.0,50.0,25.0,2.5,Tons/Ha,Rabi,Sandy loam,Rainfed
Andhra Pradesh,Anantapur,Gram,Rabi       ,0.6700041349164156,15.0,25.0,400.0,600.0,6.0,8.0,20.0,50.0,25.0,2.5,Tons/Ha,Rabi,Sandy loam,Rainfed
Andhra Pradesh,Anantapur,Groundnut,Kharif     ,0.40299938831040083,20.0,30.0,500.0,1000.0,6.0,7.5,25.0,50.0,45.0,3.5,Tons/Ha,Kharif,Sandy loam,Drip/Furrow
Andhra Pradesh,Anantapur,Groundnut,Rabi       ,1.4750281414775757,20.0,30.0,500.0,1000.0,6.0,7.5,25.0,50.0,45.0,3.5,Tons/Ha,Kharif,Sandy loam,Drip/Furrow
Andhra Pradesh,Anantapur,Horse-Gram,Kharif     ,0.2952206146980494,25.0,32.0,200.0,800.0,6.0,7.5,20.0,30.0,12.0,1.5,Tons/Ha,Kharif,Sandy,Rainfed
Andhra Pradesh,Anantapur,Horse-Gram,Rabi       ,0.4957841483979764,25.0,32.0,200.0,800.0,6.0,7.5,20.0,30.0,12.0,1.5,Tons/Ha,Kharif,Sandy,Rainfed
Andhra Pradesh,Anantapur,Jowar,Kharif     ,0.875,25.0,35.0,400.0,800.0,6.0,8.0,80.0,40.0,40.0,3.0,Tons/Ha,Kharif/Rabi,Loam,Rainfed
Andhra Pradesh,Anantapur,Jowar,Rabi       ,0.6249811661895435,25.0,35.0,400.0,800.0,6.0,8.0,80.0,40.0,40.0,3.0,Tons/Ha,Kharif/Rabi,Loam,Rainfed
Andhra Pradesh,Anantapur,Maize,Kharif     ,2.8370137417105354,18.0,27.0,500.0,800.0,5.5,7.5,150.0,70.0,50.0,8.0,Tons/Ha,Kharif/Rabi,Loam,Drip/Furrow
Andhra Pradesh,Anantapur,Maize,Rabi       ,6.9355590062111805,18.0,27.0,500.0,800.0,5.5,7.5,150.0,70.0,50.0,8.0,Tons/Ha,Kharif/Rabi,Loam,Drip/Furrow
Andhra Pradesh,Anantapur,Masoor,Kharif     ,0.16701994203400095,18.0,30.0,300.0,450.0,6.0,7.5,20.0,40.0,0.0,1.5,Tons/Ha,Rabi,Loamy,Rainfed
Andhra Pradesh,Anantapur,Masoor,Rabi       ,0.10204081632653061,18.0,30.0,300.0,450.0,6.0,7.5,20.0,40.0,0.0,1.5,Tons/Ha,Rabi,Loamy,Rainfed
Andhra Pradesh,Anantapur,Moong(Green Gram),Kharif     ,0.38950715421303655,25.0,35.0,600.0,900.0,6.0,7.5,20.0,40.0,20.0,1.5,Tons/Ha,Kharif,Loamy,Rainfed
Andhra Pradesh,Anantapur,Moong(Green Gram),Rabi       ,0.4,25.0,35.0,600.0,900.0,6.0,7.5,20.0,40.0,20.0,1.5,Tons/Ha,Kharif,Loamy,Rainfed
Andhra Pradesh,Anantapur,Onion,Kharif     ,17.584234569842714,15.0,30.0,500.0,700.0,6.0,7.5,120.0,60.0,60.0,25.0,Tons/Ha,Rabi/Kharif,Loam,Drip
Andhra Pradesh,Anantapur,Onion,Rabi       ,23.609740067270643,15.0,30.0,500.0,700.0,6.0,7.5,120.0,60.0,60.0,25.0,Tons/Ha,Rabi/Kharif,Loam,Drip
Andhra Pradesh,Anantapur,Onion,Whole Year ,18.284745762711864,15.0,30.0,500.0,700.0,6.0,7.5,120.0,60.0,60.0,25.0,Tons/Ha,Rabi/Kharif,Loam,Drip
